Faqir Colony	 Metroville
Malir City	 Malir Halt
 Malir Halt	 Drigh Road
 Drigh Road	 Karsaz
 Karsaz	 Stadium
 Stadium	 Hassan Square
 Hassan Square	 Liaquatabad No.10
 Liaquatabad No.10	 PetrolPump
 PetrolPump	 Nazimabad
 Nazimabad	 Habib Bank
 Habib Bank	 Banaras Chowk
 Banaras Chowk	 Qasba Mour
 Qasba Mour	 Orangi No. 13
 Orangi No. 13	 Orangi No. 6
 Orangi No. 6	Orangi No.8
Orangi No.8	 Orangi No.13
 Orangi No.13	 Orangi No.14
 Orangi No.14	 Gulshan-e- Behar
 Gulshan-e- Behar	

Gulshan-e-Hadid	 Quaidabad
 Quaidabad	 Malir
 Malir	 Star Gate
 Star Gate	 Karsaz
 Karsaz	 Stadium
 Stadium	 HassanSquare
 HassanSquare	 LiaquatabadNo. 10
 LiaquatabadNo. 10	 Nazimabad No. 2
 Nazimabad No. 2	 Habib Bank
 Habib Bank	 Manghopir Road
 Manghopir Road	Valika Mills
Valika Mills	 Metroville
 Metroville	 Frontier Mour
 Frontier Mour	Mominabad
Mominabad	 Faqir Colony
 Faqir Colony	 Abidabad
 Abidabad	

Bilal Colony	 Mills Area
 Mills Area	 Sharafi Goth
 Sharafi Goth	 Mansehra Colony
 Mansehra Colony	 Dawood Chowrangi
 Dawood Chowrangi	 Quaidabad
 Quaidabad	 MalirCity
 MalirCity	 Drigh Road
 Drigh Road	 Karsaz
 Karsaz	 Studium
 Studium	 HassanSquare
 HassanSquare	 Gharibabad
 Gharibabad	 Liaquatabad
 Liaquatabad	 Petrol Pump
 Petrol Pump	

Nazimabad	 Habib Bank
 Habib Bank	Valika Mills
Valika Mills	 Habib Chowrangi
 Habib Chowrangi	 College Chowrangi
 College Chowrangi	 Labour Square
 Labour Square	

Rasheedabad	 Zam Zam Chowk
 Zam Zam Chowk	 Saeed Abad
 Saeed Abad	 Mohammad Khan Colony
 Mohammad Khan Colony	Rahri Goth
Rahri Goth	 Qazzafi Town
 Qazzafi Town	 Quaidabad
 Quaidabad	 Malir Halt
 Malir Halt	 Star Gate
 Star Gate	 Drigh Road
 Drigh Road	 Station
 Station	 LabourCampus
 LabourCampus	 Rashid Minhas Road
 Rashid Minhas Road	 N.I.P.A
 N.I.P.A	 Gulshan-e-Iqbal
 Gulshan-e-Iqbal	Water Pump
Water Pump	 Sakhi Hassan
 Sakhi Hassan	 QalandariaChowk
 QalandariaChowk	 Gulshan-e-Farooq 7-D Qabrustan
 Gulshan-e-Farooq 7-D Qabrustan	

Surjani Town	 U.P Mour
 U.P Mour	 Nagin Chowrangi
 Nagin Chowrangi	 Power House
 Power House	 Sohrab Goth
 Sohrab Goth	Shafiq Mills
Shafiq Mills	 N.I.P.A
 N.I.P.A	

Rashid Minhas Road	 Drigh Road
 Drigh Road	 Quaidabad
 Quaidabad	 Dawood Chowrangi
 Dawood Chowrangi	 Chawal Godown
 Chawal Godown	 SherpaoColony
 SherpaoColony	

Surjani Town	 New Karachi
 New Karachi	 U.P Mour
 U.P Mour	 Nagan Chowrangi
 Nagan Chowrangi	 Hyderi
 Hyderi	Nazimabad Chowrangi No. 1
Nazimabad Chowrangi No. 1	Patel Para
Patel Para	 Goru Mandir
 Goru Mandir	 Jamshed Road
 Jamshed Road	 Shaheed-e-Millat Road
 Shaheed-e-Millat Road	 Shahra-e-Faisal
 Shahra-e-Faisal	 Malir Halt
 Malir Halt	Quaidabad
Quaidabad	 Mahtab Cinema
 Mahtab Cinema	 Sherpao Colony
 Sherpao Colony	 Hospital Chorangi
 Hospital Chorangi	 Metroville 2
 Metroville 2	

Surjani Town	 Karim Chowrangi
 Karim Chowrangi	 D.K Mour
 D.K Mour	 Kala School
 Kala School	 KDA
 KDA	 W.F Mour
 W.F Mour	 Nagan Chowrangi
 Nagan Chowrangi	

Power House	 Sohrab Goth
 Sohrab Goth	 N.I.P.A
 N.I.P.A	 Rashid Minhas Road
 Rashid Minhas Road	Shara-e-Faisal
Shara-e-Faisal	 Star Gate
 Star Gate	 KalaBoard
 KalaBoard	 Quaidabad
 Quaidabad	 Dawood Chowrangi
 Dawood Chowrangi	 Mansehra Colony
 Mansehra Colony	 Sharafi Goth
 Sharafi Goth	 Bilal Colony
 Bilal Colony	 CamraChowrangi
 CamraChowrangi	 Biscuit Factory
 Biscuit Factory	 Qayyumabad
 Qayyumabad	

Bhense Colony	 Quaidabad
 Quaidabad	 Malir
 Malir	 Drigh Road
 Drigh Road	 Rashid Minhas Road
 Rashid Minhas Road	 N.I.P.A
 N.I.P.A	 Sohrab Goth
 Sohrab Goth	 ShafiMour
 ShafiMour	 Nagan Chowrangi
 Nagan Chowrangi	 Maria Hill Luxury Appartments
 Maria Hill Luxury Appartments	 Shadman Town
 Shadman Town	 Qalandari Chowk
 Qalandari Chowk	Nusrat Buttho Colony
Nusrat Buttho Colony	 Kawari Colony
 Kawari Colony	 Landhi
 Landhi	 New Sultanabad
 New Sultanabad	

Saddi Garden Scheme No. 33	 Filter Plant
 Filter Plant	 Saddi Town
 Saddi Town	 Safora Goth
 Safora Goth	 Mosamiat
 Mosamiat	 UniversityRoad
 UniversityRoad	 Safari Park
 Safari Park	 N.I.P.A
 N.I.P.A	 Urdu College
 Urdu College	 Hassan Square
 Hassan Square	Sabzi Mandi
Sabzi Mandi	 New Town Chowrangi
 New Town Chowrangi	

Kashmir Chowrangi	 Islamia College
 Islamia College	Goru Mandir
Goru Mandir	 Numaish
 Numaish	 Tibet Centre
 Tibet Centre	 Saeed Manzil
 Saeed Manzil	 JamaCloth
 JamaCloth	 Light House
 Light House	 Denso Hall
 Denso Hall	 Kemari
 Kemari	

Sharafi Goth	 Farooq Mills
 Farooq Mills	 Mansehra Colony
 Mansehra Colony	 Future Colony
 Future Colony	 Dawood Chowrangi
 Dawood Chowrangi	 Quaidabad
 Quaidabad	 

Malir Road	 Drigh Road
 Drigh Road	 Station
 Station	 Drive-In
 Drive-In	 Rashid Minhas Road
 Rashid Minhas Road	 N.I.P.A
 N.I.P.A	 Sohrab Goth
 Sohrab Goth	 Al-NoorStop
 Al-NoorStop	 2-D Bus Stop
 2-D Bus Stop	 Gulberg Chowrangi
 Gulberg Chowrangi	Sakhi Hassan
Sakhi Hassan	 KDA Flats Sector 14-A
 KDA Flats Sector 14-A	 KDA Flats Sector14-B
 KDA Flats Sector14-B	 B-3 Mini Bus Stop
 B-3 Mini Bus Stop	

Dockyard	 Fisheries
 Fisheries	 Sherpao Colony
 Sherpao Colony	 Fish Harbour
 Fish Harbour	 Ibrahim
 Ibrahim	 Hyderi
 Hyderi	 PAF
 PAF	 Korangi
 Korangi	

Qayyumabad	 Punjab Colony
 Punjab Colony	 Schon Chowrangi
 Schon Chowrangi	 Boat Basin Chowragni
 Boat Basin Chowragni	 Mai Kalachi Road
 Mai Kalachi Road	Fisheries
Fisheries	 Rehri Road
 Rehri Road	

Bhense Colony	 Hospital Chowrangi
 Hospital Chowrangi	 Qazafi Town
 Qazafi Town	 Quaidabad
 Quaidabad	 Malir
 Malir	Drigh Road
Drigh Road	 Shahra-eFaisal
 Shahra-eFaisal	 Jinnah Hospital
 Jinnah Hospital	 Cannt. Station
 Cannt. Station	 P.I.D.C House
 P.I.D.C House	 Sultanabad
 Sultanabad	 Tower
 Tower	 Purana Truck Stand
 Purana Truck Stand	

Gulbai	 Shershah
 Shershah	 Hub River Road
 Hub River Road	Police Training School
Police Training School	 Rubi Cinema
 Rubi Cinema	 Saeedabad
 Saeedabad	

Chamra Chowrangi	 Zia Colony
 Zia Colony	 Nasir Colony
 Nasir Colony	 Korangi No. 1
 Korangi No. 1	 Korangi No. 2-1/2
 Korangi No. 2-1/2	 Coast Gard
 Coast Gard	

Hyderi	 Chaghi
 Chaghi	 Bangali Para
 Bangali Para	 Tanver Mahal Cinema
 Tanver Mahal Cinema	 Korangi No. 5-1/2
 Korangi No. 5-1/2	 Korangi No. 6
 Korangi No. 6	 LandhiNo. 6
 LandhiNo. 6	 Landhi No. 5
 Landhi No. 5	Landhi No. 4
Landhi No. 4	 Landhi No. 3
 Landhi No. 3	 Landhi No. 2
 Landhi No. 2	 Landhi No.1
 Landhi No.1	 Dawood Chowrangi
 Dawood Chowrangi	Quaidabad
Quaidabad	 Gaddafi Town
 Gaddafi Town	

Airport	 Star Gate
 Star Gate	 Terminal Building
 Terminal Building	 National Highway
 National Highway	 Gora Qabrustan
 Gora Qabrustan	Jet Line
Jet Line	 Iqbal ShaheedRoad
 Iqbal ShaheedRoad	 Fleet Club
 Fleet Club	 Mansfield Street
 Mansfield Street	 Shahra-e-Iraq
 Shahra-e-Iraq	 Talpur Road
 Talpur Road	 Wellington Street
 Wellington Street	 Dawood PotaRoad
 Dawood PotaRoad	 Station
 Station	 PIDC House
 PIDC House	 Sultanabad Chowrang
 Sultanabad Chowrang	 NSC Building
 NSC Building	 Tower
 Tower	 Mari Pur
 Mari Pur	 Gulbai
 Gulbai	 SherShah Chowrangi
 SherShah Chowrangi	 Ghani Chowrangi
 Ghani Chowrangi	 Labour Square
 Labour Square	 Power House
 Power House	 Metroville
 Metroville	 Zia ColonyKhokhrapar
 Zia ColonyKhokhrapar	 Malir No. 15
 Malir No. 15	 Nihal Hospital
 Nihal Hospital	 Allama Iqbal College
 Allama Iqbal College	 NathaKhan Goth
 NathaKhan Goth	 Drigh Road
 Drigh Road	

Karsaz	 Baloch Colony
 Baloch Colony	 Nursery
 Nursery	 Gora Qabrustan
 Gora Qabrustan	 JetLine
 JetLine	 Iqbal Shaheed Road
 Iqbal Shaheed Road	 Fleet Club
 Fleet Club	

Mansfield Street	 Shahra-e-Iraq
 Shahra-e-Iraq	 Talpur Road
 Talpur Road	 Rafique Shaheed Road
 Rafique Shaheed Road	 Jinnah Hospital
 Jinnah Hospital	 Kala Pul
 Kala Pul	Masjid-e-Quba
Masjid-e-Quba	

Sector No. 2 Majeed Colony	 Muzaffarabad Colony
 Muzaffarabad Colony	 Social Security Hospital
 Social Security Hospital	 Gul Ahmed TextileMills
 Gul Ahmed TextileMills	 Dawood Chowrangi
 Dawood Chowrangi	 Quaidabad
 Quaidabad	 Malir Halt
 Malir Halt	Natha Khan Goth
Natha Khan Goth	 Drigh Road
 Drigh Road	 Station
 Station	 DalmiaChowrangi
 DalmiaChowrangi	 Gulshan Complex
 Gulshan Complex	 N.I.P.A
 N.I.P.A	 Gulshan Chowrangi
 Gulshan Chowrangi	 Sohrab Goth
 Sohrab Goth	 Al-Asif Square
 Al-Asif Square	 NewSabzi Mandi
 NewSabzi Mandi	

Bhense Colony	 Dawood Chowrangi
 Dawood Chowrangi	 Quaidabad
 Quaidabad	 Malir City
 Malir City	 Drigh Road
 Drigh Road	Karsaz
Karsaz	 Stadium
 Stadium	

Hassan Square	 Liaquatabad No. 10
 Liaquatabad No. 10	 Nazimabad
 Nazimabad	 Habib Bank
 Habib Bank	Shershah Chowrangi
Shershah Chowrangi	 Gulbai
 Gulbai	Masroor Colony
Masroor Colony	

Bhense Colony	 Landhi Children Jail
 Landhi Children Jail	 National Highway
 National Highway	 Quaidabad
 Quaidabad	 MalirCity
 MalirCity	 Drigh Road
 Drigh Road	

Karsaz	 Hassan Square
 Hassan Square	 Liaquatabad No. 10
 Liaquatabad No. 10	 Petrol Pump
 Petrol Pump	 Nazimabad No. 2
 Nazimabad No. 2	 Habib Bank
 Habib Bank	

Sharshah	 Frontier Colony
 Frontier Colony	 Orangi No. 4
 Orangi No. 4	 FaqirColony
 FaqirColony	 Ittehad Colony
 Ittehad Colony	 Khyber Rehri
 Khyber Rehri	 Geedar Colony
 Geedar Colony	 Hospital Chowrangi
 Hospital Chowrangi	 Gul Ahmed Mills
 Gul Ahmed Mills	 Dawood Chorangi
 Dawood Chorangi	 Landhi No. 1
 Landhi No. 1	

Landhi No. 2	 Landhi No. 3
 Landhi No. 3	 Landhi No. 4
 Landhi No. 4	 Landhi No. 5
 Landhi No. 5	 Landhi No. 6
 Landhi No. 6	 Korangi No. 6
 Korangi No. 6	 Korangi No.5
 Korangi No.5	 Korangi No. 4
 Korangi No. 4	 Korangi No. 3
 Korangi No. 3	 Korangi No. 2
 Korangi No. 2	 Korangi No. 1
 Korangi No. 1	 Qayyumabad
 Qayyumabad	 Akhter Colony
 Akhter Colony	

Kalapul	 Jinnah Hospital
 Jinnah Hospital	 Cantt. Station
 Cantt. Station	 Dr. Zia-uddin Road
 Dr. Zia-uddin Road	 P.I.D.C
 P.I.D.C	 Molvi Tameez-uddin Road
 Molvi Tameez-uddin Road	Sultanabad
Sultanabad	 Masan Road
 Masan Road	 Shireen Jinnah Colony
 Shireen Jinnah Colony	

Cattle Colony	 Gul Ahmed Mills
 Gul Ahmed Mills	 Dawood Chowrangi
 Dawood Chowrangi	 Landhi No. 1
 Landhi No. 1	 Korangi No. 6
 Korangi No. 6	 Korangi No. 1
 Korangi No. 1	

Defence Society	 Gora Qabristan
 Gora Qabristan	 Shahrah-e-Quaideen
 Shahrah-e-Quaideen	 Khalid Bin Waleed Road
 Khalid Bin Waleed Road	 Shaheed-eMillat Road
 Shaheed-eMillat Road	 Jail Chowrangi
 Jail Chowrangi	 Sabzi Mandi
 Sabzi Mandi	 University Road
 University Road	 Hasan Square
 Hasan Square	 N.I.P.A
 N.I.P.A	 Gulshan-eIqbal
 Gulshan-eIqbal	 Water Pump
 Water Pump	 Gulberg
 Gulberg	 Sakhi Hassan
 Sakhi Hassan	 Qalandaria Chowk
 Qalandaria Chowk	 Mustafabad Colony
 Mustafabad Colony	 Mian WaliColony
 Mian WaliColony	

Sharafi Goth	 Singer Chowrangi
 Singer Chowrangi	 Bilal Chowrangi
 Bilal Chowrangi	 Hazrat Bilal Colony
 Hazrat Bilal Colony	 Bilal Pulia
 Bilal Pulia	 ChamraChowrangi
 ChamraChowrangi	 Biscuit Factory
 Biscuit Factory	 Qayyumabad
 Qayyumabad	 Akhter Colony
 Akhter Colony	 Defence Society
 Defence Society	 Kala Pul
 Kala Pul	 GoraQabristan
 GoraQabristan	 Sindhi Muslim Society
 Sindhi Muslim Society	 Shahrah-e-Quaideen
 Shahrah-e-Quaideen	 Khudadad Colony
 Khudadad Colony	 Old Numaish
 Old Numaish	

M.A.Jinnah Road	 Jama Cloth Market
 Jama Cloth Market	 Tower
 Tower	 West Warf
 West Warf	 Dock Yard
 Dock Yard	

Dhani Bux Goth	 Pahlwan Goth
 Pahlwan Goth	 Al-Shifa
 Al-Shifa	 Terminal No. 4
 Terminal No. 4	 Malir Halt
 Malir Halt	 Quaidabad
 Quaidabad	 DawoodChowrangi
 DawoodChowrangi	 Landhi No. 4
 Landhi No. 4	 36-B Area
 36-B Area	 Mills Area
 Mills Area	 Bilal Colony
 Bilal Colony	 Kala Pul
 Kala Pul	 Jinnah Hospital
 Jinnah Hospital	 CanttStation
 CanttStation	 Gizri

Hyderi	 Bhittai Colony
 Bhittai Colony	 Qayyumabad
 Qayyumabad	 Tooba Masjid
 Tooba Masjid	 Kala Pul
 Kala Pul	 Jinnah Hospital
 Jinnah Hospital	 Cantt Station
 Cantt Station	 Dr.Ziauddin Ahmed Road
 Dr.Ziauddin Ahmed Road	 P.I.D.C
 P.I.D.C	 Pakistan Chowk
 Pakistan Chowk	 Civil Hospital
 Civil Hospital	 K.M.C Work Shop
 K.M.C Work Shop	 Spensor EyeHospital
 Spensor EyeHospital	 Bhitai Road
 Bhitai Road	 Baghdadi
 Baghdadi	 Agha Khan Road
 Agha Khan Road	 Jamat Khana
 Jamat Khana	 I.C.I
 I.C.I	 Fisheries Badhni Goth
 Fisheries Badhni Goth	 Naval Colony
 Naval Colony	 Grace Mauripur
 Grace Mauripur	 Gulbai
 Gulbai	 Mauripur Truck Adda
 Mauripur Truck Adda	 G. Allana Road
 G. Allana Road	

Tower	 City Station
 City Station	 Khairabad
 Khairabad	 P.I.D.C
 P.I.D.C	 Taj Hotel
 Taj Hotel	 Punjab Colony
 Punjab Colony	 Sunset Bulevard
 Sunset Bulevard	 AkhterColony
 AkhterColony	 Qayyumabad
 Qayyumabad	 Korangi Crossing
 Korangi Crossing	 Allahwala Town
 Allahwala Town	 Gulzar Colony
 Gulzar Colony	

Qasba Colony	 Manghopir Road
 Manghopir Road	 Nusrat Bhutto Colony
 Nusrat Bhutto Colony	 Sakhi Hasan
 Sakhi Hasan	 Hyderi
 Hyderi	 Dr. ZiauddinHospital
 Dr. ZiauddinHospital	 Karimabad
 Karimabad	 Liaquatabad
 Liaquatabad	 Teen Hati
 Teen Hati	 Guru Mandir
 Guru Mandir	 Numaish
 Numaish	 Khudadad Colony
 Khudadad Colony	

Nursery	 Gora Qabristan
 Gora Qabristan	 Defence
 Defence	 Akhter Colony
 Akhter Colony	 Korangi No. 1
 Korangi No. 1	 Korangi No. 3
 Korangi No. 3	 Korangi No. 51/2
 Korangi No. 51/2	 Korangi No. 5
 Korangi No. 5	 Dhobi Ghat
 Dhobi Ghat	 Degree College
 Degree College	 Korangi Market
 Korangi Market	 Korangi No. 6
 Korangi No. 6	 Landhi No. 6
 Landhi No. 6	

Landhi No.1	 Dawood Chowrangi
 Dawood Chowrangi	 Gul Ahmed
 Gul Ahmed	 Hospital Chowrangi
 Hospital Chowrangi	 labour Square
 labour Square	 Machine ToolFactory
 Machine ToolFactory	

Ziaul Haq Colony	 Mominabad
 Mominabad	 Orangi No. 4
 Orangi No. 4	 Orangi No. 5
 Orangi No. 5	 Metro Cinema
 Metro Cinema	 Banaras Chowk
 Banaras Chowk	

Abdullah College	 Paposh Nagar
 Paposh Nagar	 Nazimabad Petrol Pump
 Nazimabad Petrol Pump	 Liaquatabad No. 10
 Liaquatabad No. 10	 Teen Hati
 Teen Hati	 GuruMandir
 GuruMandir	 Numaish
 Numaish	 Shahrah-e-Quaideen
 Shahrah-e-Quaideen	 Nusery
 Nusery	 Gora Qabristan
 Gora Qabristan	 Kala Pul
 Kala Pul	 Defence
 Defence	 AkhtarColony
 AkhtarColony	 Qayyumabad
 Qayyumabad	 Chamra Chowrangi
 Chamra Chowrangi	 Industrial Area
 Industrial Area	 Bilal Colony
 Bilal Colony	 Bismillah Stop
 Bismillah Stop	 DhobiGhat
 DhobiGhat	

Rafi Bunglows	 Azeem Pure
 Azeem Pure	 Millat Town
 Millat Town	 Reta Plot
 Reta Plot	 Shah Faisal Colony
 Shah Faisal Colony	 Sangan Cinema
 Sangan Cinema	

Colony Gate	 Shahrah-e-Failsal
 Shahrah-e-Failsal	 Shaheed-e-Millat
 Shaheed-e-Millat	 Tariq Road
 Tariq Road	 Shahrah-e-Quaideen
 Shahrah-e-Quaideen	 KashmirRoad
 KashmirRoad	 Dada Bhai Nooroji Road
 Dada Bhai Nooroji Road	 Directorate Of School Road
 Directorate Of School Road	 Guru Mandir
 Guru Mandir	 Soldier Bazar
 Soldier Bazar	 JunaMarket
 JunaMarket	 Kharadar
 Kharadar	 Bughdadi Agra Taj
 Bughdadi Agra Taj	 GUlbai
 GUlbai	 PAF Masroor
 PAF Masroor	 Mari Pur
 Mari Pur	

Mianwali Colony	 Qasba Mour
 Qasba Mour	 Banaras Chowk
 Banaras Chowk	 Abdullah College
 Abdullah College	 Paposh Nagar
 Paposh Nagar	 AbbasiShaheed Hospital
 AbbasiShaheed Hospital	 Nazimabad Petrol Pump
 Nazimabad Petrol Pump	 Gulbehar Chowrangi
 Gulbehar Chowrangi	 Bara Board
 Bara Board	 Garden
 Garden	 DhobiGhat
 DhobiGhat	 Bakrapiri
 Bakrapiri	 Miran Naka
 Miran Naka	 Agra Taj
 Agra Taj	 Behar Colony
 Behar Colony	 Mauripur Road
 Mauripur Road	 I.C.I Bridge
 I.C.I Bridge	 Fisheries
 Fisheries	

Sabzi Mandi	 Maymar Plaza
 Maymar Plaza	 Sohrab Goth
 Sohrab Goth	 Nagan Chowrangi
 Nagan Chowrangi	 Maria Hill View
 Maria Hill View	 LuxuryAppartments Habibia Chowk
 LuxuryAppartments Habibia Chowk	 Shadman Town Qalandria Chowk
 Shadman Town Qalandria Chowk	 Shipowner College
 Shipowner College	 Pahar Gang
 Pahar Gang	

Abdullah College	 Banaras
 Banaras	 Orangi No. 4
 Orangi No. 4	 Orangi No. 5
 Orangi No. 5	 Frontier Mor
 Frontier Mor	 Mominabad
 Mominabad	 Faqir Colony
 Faqir Colony	

P.I.B Colony	 Jamshed Road
 Jamshed Road	 Jinnah Mazar
 Jinnah Mazar	 Plaza
 Plaza	 Regal
 Regal	 Frere Road
 Frere Road	 Masjid-e-Khizran
 Masjid-e-Khizran	

Shahrah-e-Iraq	 Lucky Star
 Lucky Star	 Kala Pul
 Kala Pul	 Defence Society
 Defence Society	 Korangi Road
 Korangi Road	 Akhter Colony
 Akhter Colony	 PoliceChowki
 PoliceChowki	 Korangi No. 1
 Korangi No. 1	 Korangi No. 3
 Korangi No. 3	 Korangi No. 6
 Korangi No. 6	 Landhi Petrol Pump
 Landhi Petrol Pump	 Dawood Mills
 Dawood Mills	 GeedarColony
 GeedarColony	

Korangi No. 4	 Landhi No. 6
 Landhi No. 6	 Quaidabad
 Quaidabad	 Malir City
 Malir City	 Star Gate
 Star Gate	 Nata Khan
 Nata Khan	 Drigh Road
 Drigh Road	 Karsaz
 Karsaz	

Nursery	 Gora Qabristan
 Gora Qabristan	 Jutland Lines
 Jutland Lines	 St. Patrick High School
 St. Patrick High School	 Shahrah-e-Iraq
 Shahrah-e-Iraq	 Mir Karam Ali

Talpur Road	 Raja Ghazanfar Ali Road
 Raja Ghazanfar Ali Road	Korangi No.1
Korangi No.1	 Quaidabad
 Quaidabad	 Drigh Road
 Drigh Road	 Gora Qabristan
 Gora Qabristan	 Jet lines
 Jet lines	 Iqbal Sheed Road
 Iqbal Sheed Road	 Fleet CLub
 Fleet CLub	

Sarwar Shaheed Road	 Dawood Pota Road
 Dawood Pota Road	 Preedy Street
 Preedy Street	 Regal
 Regal	 Shahrah-e-Liaquat
 Shahrah-e-Liaquat	 BurnsRoad
 BurnsRoad	 Pakistan Chowk
 Pakistan Chowk	

89 Bus Stop	 Landhi No. 5
 Landhi No. 5	 Korangi No. 5
 Korangi No. 5	 Korangi No. 1
 Korangi No. 1	 Akhter Colony
 Akhter Colony	 Kala Pul
 Kala Pul	 Cantt. PublicSchool
 Cantt. PublicSchool	 Cantt. Station
 Cantt. Station	 P.I.D.C
 P.I.D.C	 Tower
 Tower	 Custom House
 Custom House	 West Wharf
 West Wharf	 Fisheries
 Fisheries	

Nasir Colony	 Korangi No. 1
 Korangi No. 1	 Korangi No. 5
 Korangi No. 5	 Landhi No. 1
 Landhi No. 1	 Quaidabad
 Quaidabad	 Malir Halt
 Malir Halt	 Colony Gate
 Colony Gate	Shabnam Cinema
Shabnam Cinema	 Drigh Colony No. 5
 Drigh Colony No. 5	

Korangi Market	 Korangi No. 5 1/2
 Korangi No. 5 1/2	 Landhi No. 6
 Landhi No. 6	 Babar Market
 Babar Market	 Dawood Chowrangi
 Dawood Chowrangi	 Quaidabad
 Quaidabad	

Malir	 National Highway
 National Highway	 Drigh Road
 Drigh Road	 Karsaz
 Karsaz	 Nursery
 Nursery	 Shahrah-e-Quaideen
 Shahrah-e-Quaideen	 Society Office
 Society Office	 OldNumaish
 OldNumaish	 M.A Jinnah Road
 M.A Jinnah Road	 Tower
 Tower	 West Wharf
 West Wharf	New Muzaffarabad Colony
New Muzaffarabad Colony	 Gul Ahmed Mills
 Gul Ahmed Mills	 Dawood Chowrangi
 Dawood Chowrangi	 89 Bus Stop
 89 Bus Stop	 Babar Market
 Babar Market	

Chiragh Hotel	 Landhi No. 6
 Landhi No. 6	 Auliya Masjid
 Auliya Masjid	 Burmi Colony
 Burmi Colony	 Landhi K-Area
 Landhi K-Area	 Korangi I-Area
 Korangi I-Area	

Korangi No. 5	 Korangi No. 1
 Korangi No. 1	 Bhittai Colony
 Bhittai Colony	 Korangi Crossing
 Korangi Crossing	 Qayyumabad
 Qayyumabad	 Akhter Colony
 Akhter Colony	

Defence	 Gora Qabristan
 Gora Qabristan	 Shahrah-e-Quaideen
 Shahrah-e-Quaideen	 Khudadad Colony
 Khudadad Colony	 M.A.Jinnah Road
 M.A.Jinnah Road	 GuruMandir
 GuruMandir	 Jahangeer Road
 Jahangeer Road	 Tin Hatti
 Tin Hatti	 Liaquatabad No.10
 Liaquatabad No.10	 Liaquatabad No. 4
 Liaquatabad No. 4	 Nazimabad
 Nazimabad	 HabibBank
 HabibBank	 Site
 Site	 Pathan Colony
 Pathan Colony	 Abdul Hameed Badayuni College
 Abdul Hameed Badayuni College	Court Road
Court Road	Cross Frere Road
Cross Frere Road	 Mohan Road
 Mohan Road	 M.A Jinnah Road
 M.A Jinnah Road	 Garden Road
 Garden Road	 National SuperHighway
 National SuperHighway	 Liaquatabad
 Liaquatabad	 Al-Azam Square
 Al-Azam Square	

Dockyard	 Tower
 Tower	 Frere Road
 Frere Road	 Empress Market
 Empress Market	 M.A Jinnah Road
 M.A Jinnah Road	 Guru Mandir
 Guru Mandir	 Liaquatabad
 Liaquatabad	

Karimabad	 Water Pump
 Water Pump	 Gulshan-e-Iqbal
 Gulshan-e-Iqbal	

Orangi Town	 Zia Chowk
 Zia Chowk	 Iqbal Market 11 1/2 Orangi
 Iqbal Market 11 1/2 Orangi	 Islam Chowk
 Islam Chowk	 Orangi No. 5
 Orangi No. 5	 BanarasChowk
 BanarasChowk	 Habib Bank
 Habib Bank	 Petrol Pump
 Petrol Pump	 Nazimabad
 Nazimabad	 Liaquatabad No. 10
 Liaquatabad No. 10	 Karimabad
 Karimabad	 Water Pump
 Water Pump	

Sohrab Goth	 N.I.P.A Chowrangi
 N.I.P.A Chowrangi	 Gulshan-e-Iqbal
 Gulshan-e-Iqbal	 Safari Park
 Safari Park	 Rabi City
 Rabi City	 Pahlwan Goth
 Pahlwan Goth	

Yosuf Goth	 Ittehad Town
 Ittehad Town	 New Saeedabad Police Training School
 New Saeedabad Police Training School	 Hub River Road
 Hub River Road	 Traffic Police Kiask
 Traffic Police Kiask	 Philips Company
 Philips Company	 Polytechnic
 Polytechnic	 S.I.T.E Police Station
 S.I.T.E Police Station	 Bhawani Challi
 Bhawani Challi	 Frontier Mor
 Frontier Mor	

Badar Chowk	 Orangi No. 4
 Orangi No. 4	 Orangi No. 5
 Orangi No. 5	 Metro Cinema
 Metro Cinema	 Banaras Chowk
 Banaras Chowk	 Abdullah College
 Abdullah College	

Board Office	 Bank Qtrs
 Bank Qtrs	 Ziauddin Hospital
 Ziauddin Hospital	 Moosa Colony
 Moosa Colony	 APWA Girls College
 APWA Girls College	 Karimabad
 Karimabad	

Naseerabad	 Telephone Exchange
 Telephone Exchange	 Water Pump
 Water Pump	 City Garden
 City Garden	 Moti Mehal
 Moti Mehal	 N.I.P.A
 N.I.P.A	 Safari Park
 Safari Park	

Gulistan-e-Jouhar	 Abdullah Appartments
 Abdullah Appartments	 Jouhar Square
 Jouhar Square	 Golden City
 Golden City	 Pahlwan Goth Old Area
 Pahlwan Goth Old Area	

Safoora Goth	 Trauma Centre
 Trauma Centre	 Kiran Hospital
 Kiran Hospital	

Yaqoobabad	 Orangi Town
 Orangi Town	 Mansoor Nagar
 Mansoor Nagar	 Rahmat Chowk
 Rahmat Chowk	 Iqbal Market
 Iqbal Market	Islam Chowk
Islam Chowk	 Nishane-Hyder Road No. 5
 Nishane-Hyder Road No. 5	 Bacha Khan Chowk
 Bacha Khan Chowk	 Paposh Nagar
 Paposh Nagar	Nazimabad No. 1
Nazimabad No. 1	 Nazimabad No. 2
 Nazimabad No. 2	

Petrol Pump	 Liaquatabad No. 10
 Liaquatabad No. 10	 HassanSquare
