Faqir Colony	 Metroville
 LeeMarket	 Chaliwara
 Chaliwara	 Shershah
 Shershah	 Mohajir camp
 Mohajir camp	 Saeedabad
 Saeedabad	

Federal B. Area	 Noorani Masjid
 Noorani Masjid	 Peoples Colony
 Peoples Colony	 Imam Bara
 Imam Bara	 Humayun Road
 Humayun Road	 K.D.A Office
 K.D.A Office	

North Nazimabad	 Board Office
 Board Office	 Nazimabad No. 7
 Nazimabad No. 7	 Petrol Pump
 Petrol Pump	 Lasbella
 Lasbella	 Sabil Wali Masjid
 Sabil Wali Masjid	

Soldier Bazar	 Saddar
 Saddar	 Frere Road
 Frere Road	 M.W Tower
 M.W Tower	 Noorani Masjid
 Noorani Masjid	

North Nazimabad Block M	 Shahra-e-Jehangir
 Shahra-e-Jehangir	 Water Pump
 Water Pump	 Hyderi
 Hyderi	 Paposh Nagar
 Paposh Nagar	 BaraMaidan
 BaraMaidan	 Nazimabad No. 2
 Nazimabad No. 2	 Petrol Pump
 Petrol Pump	 Guru Mandir
 Guru Mandir	 Saddar
 Saddar	 Burns Road
 Burns Road	 Mereweather Tower
 Mereweather Tower	Keamari
Keamari	

Shirin jinnah Colony	 Clifton
 Clifton	 Mehata palace
 Mehata palace	 Clifton bridge
 Clifton bridge	 Bagh-e-jinnah
 Bagh-e-jinnah	 Metropole hotel
 Metropole hotel	

Lucky star	 Saddar
 Saddar	 Garden
 Garden	 Old golimar
 Old golimar	 Bara Board
 Bara Board	 Habib bank
 Habib bank	 Valika stop
 Valika stop	 Police Station
 Police Station	

S.I.T.E	 Labour square
 Labour square	 Rashidabad
 Rashidabad	

Lucky star(Asghar shaheed Road)	 Shahrah-e-iraq
 Shahrah-e-iraq	 Mir karam ali talpur Road
 Mir karam ali talpur Road	 Cantt Station
 Cantt Station	

Meshang Road	 Kutchery Road
 Kutchery Road	 New Queens way
 New Queens way	 Native jetty
 Native jetty	 Tower
 Tower	 Dockyard
 Dockyard	

Behar Colony	 Hasan Road
 Hasan Road	 Meesa lane
 Meesa lane	 Kharadar
 Kharadar	 M.W tower
 M.W tower	 Dockyard
 Dockyard	

Rashidabad	 Bihar Colony
 Bihar Colony	 Ghani Chowrangi
 Ghani Chowrangi	 Shershah
 Shershah	 Chakiwara
 Chakiwara	 Lee Market
 Lee Market	 HerchandraiRoad
 HerchandraiRoad	 Haji camp Road
 Haji camp Road	 Nishter Road
 Nishter Road	 Baba-e-urdu
 Baba-e-urdu	 Frere Road
 Frere Road	 Court Road
 Court Road	 Sarwar shaheedRoad
 Sarwar shaheedRoad	 Shahrah-e-iraq
 Shahrah-e-iraq	 Masjid-e-khizra
 Masjid-e-khizra	 Burns Road
 Burns Road	 M.A jinnah Road
 M.A jinnah Road	 Cantt Station
 Cantt Station	

Agra taj Colony	 Kalri
 Kalri	 Baghdadi
 Baghdadi	 Meesa lane
 Meesa lane	 Kharadar
 Kharadar	 Khajeer Bazar
 Khajeer Bazar	 Lea Market
 Lea Market	 Purani hajicamp
 Purani hajicamp	 Ranchore lines
 Ranchore lines	 Sho Market
 Sho Market	 Garden
 Garden	 Pakistan quaters
 Pakistan quaters	 Khaja jamat khana
 Khaja jamat khana	 Lasbela
 Lasbela	 Teenhatti
 Teenhatti	 New Town
 New Town	 Liaquat hospital
 Liaquat hospital	 Dhoraji society
 Dhoraji society	 National stadium
 National stadium	 National Cement Factory
 National Cement Factory	

Naval Quaters	 Labour Quaters
 Labour Quaters	 Drigh Road
 Drigh Road	 Natha khan Goth
 Natha khan Goth	 Air Port
 Air Port	 Malir
 Malir	 Landhi
 Landhi	Quaidabad
Quaidabad	 Qazafi Town
 Qazafi Town	

Nursery	 frere Road
 frere Road	 Tower
 Tower	 Wazir mansion
 Wazir mansion	 GulbaiTower
 GulbaiTower	 Gulbai
 Gulbai	 Grazy Colony
 Grazy Colony	 Naval Colony
 Naval Colony	 Mauripur
 Mauripur	

Shahrah-e-iraq	 Frere Road
 Frere Road	 Empress Market
 Empress Market	 Mansfield street
 Mansfield street	 Bunder Road
 Bunder Road	 Guru Mandir
 Guru Mandir	 Teenhatti
 Teenhatti	 Lasbela
 Lasbela	 Golimar
 Golimar	 Nazimabad
 Nazimabad	 Habib bank
 Habib bank	 Valika mills
 Valika mills	 Bawani textile mills
 Bawani textile mills	 Habib mills
 Habib mills	

A.B biscuit factory	 Polytechnic college
 Polytechnic college	 Shershah
 Shershah	 Baldia Colony
 Baldia Colony	 Saeedabad
 Saeedabad	

Court Road	 Frere Road
 Frere Road	 Empress Market
 Empress Market	 Mansfield street
 Mansfield street	 Bunder Road
 Bunder Road	 Guru mandir
 Guru mandir	

Nazimabad	 Habib bank
 Habib bank	 Valikaa mills
 Valikaa mills	 Bawani textile mills
 Bawani textile mills	 Habib mills
 Habib mills	 A.B biscuit factory
 A.B biscuit factory	Polytechnic college
Polytechnic college	 Shershah
 Shershah	 Baldia Colony
 Baldia Colony	 Saeedabad
 Saeedabad	

Nusrat Bhutto Colony	 Abdullah College
 Abdullah College	 Paposh Nagar
 Paposh Nagar	 Bara Maidan
 Bara Maidan	 Nazimabad No. 2
 Nazimabad No. 2	 PetrolPump
 PetrolPump	 Lasbela
 Lasbela	 Patel Para
 Patel Para	 Goro Mandir
 Goro Mandir	 M.A Jinnah Road
 M.A Jinnah Road	 Tower Keamari
 Tower Keamari	

Al-Azam Town	 Gulshan Chowrangi
 Gulshan Chowrangi	 N.I.P.A
 N.I.P.A	 Civic Centre
 Civic Centre	 Sabzi Mandi
 Sabzi Mandi	 Bahadurabad
 Bahadurabad	 TariqRoad
 TariqRoad	 F.T.C
 F.T.C	 Fuwara Chowk
 Fuwara Chowk	 I.I Chundrigar Road
 I.I Chundrigar Road	 Tower
 Tower	 Dockyard
 Dockyard	

Nusrat Bhutto Colony	 Abdullah College
 Abdullah College	 Paposh Nagar
 Paposh Nagar	 Bara Maidan
 Bara Maidan	 Nazimabad No. 2
 Nazimabad No. 2	 PetrolPump
